commit_hash                             , timestamp , test                                , format:ci      , pnpm-lock.yaml, e2e:ci                                                      , test:e2e       , test:unit                                         , test:dc                                 , test:e2e:codegen                            , check:ci             , test:unit:watch, test:coverage                                                                                        , test:unit:coverage                           , test:unit:ui                       , yarn.lock, serve:test-static                            , circular                                                                                                                                                                   , e2e:coverage                        , test:ui
6597051e9abbd3f89803d8637f9b0450047045f3, 1658142529, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
94b7f77f8fffc738766e45dd3e9daf0559e0b0bc, 1658142574, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
b480153de9d097f45ac49407d92a856545cdcb24, 1658391807, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
e3e37413930eb0a52f1b030f2d04d049152d003f, 1658476161, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
7d433b53d4a1a2261b49d3368a2ec8f096d5060f, 1658476161, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
b89d3deb6eb374497efea326a0c4cd2a44b0259e, 1658479244, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
0871fbda07c957883b595d57f38b5f5e8812a710, 1658480692, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
9361ad8e61e7476a17683a1111cde8b95e36f733, 1658484510, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
48a5f52fb4246f39ca0ef80339f886d5e816cfd8, 1658497137, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
101449dd37687525a92edcddbbb817da95595a69, 1658589652, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
e7f0be94638cabe5082e6eb55da8cb1a62fa2515, 1658593126, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
76b7dc72d0847653acf5169a4ee49318d067c790, 1658594195, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
4f1c47a3bcd810a1c408a40b1eaa9c011698614a, 1658655798, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
a4132f5f8a3e70b4c7a355e24a35134bc8620928, 1658670963, nx run-many --target test --all     , nx format:check, True          ,                                                             ,                ,                                                   ,                                         ,                                             ,                      ,                ,                                                                                                      ,                                              ,                                    ,          ,                                              ,                                                                                                                                                                            ,                                     , 
