epoch,docker_tag
1576247273,2.0.0-c6fc2e6
1582759426,2.0.0-alpha.2-2afecf81
1593120317,2.0.0-rc4-00768a1
1595618126,2.0.0-rc5-1502626e
1600797135,2.0.0-a200cdb9
1612981626,2.0.0-49a4103f4b
1622511311,2.0.0-7ba4e4ced0
1625102840,2.0.0-83808aa815
1627781294,3.0.0-dev-4d28ebeb8b
1630459626,3.0.0-dev-852bab0
1633051737,3.0.0-dev-bf9683eee4
1635730048,3.0.0-dev-26d69bc
1638322155,3.0.0-dev-b6c1c1bc
1641000569,3.0.0-dev-1ca6b68
1643678923,3.0.0-dev-2c454968
1646099078,3.0.0-dev-66ff3a56
1648777108,3.0.0-dev-2287cd8
1651369204,3.0.0-dev-fa778cc1
1654047573,3.0.0-dev-346471da930
1656639433,3.0.0-dev-279593d87f1
1659317758,3.0.0-dev-7d8e5a1e397
1661996334,3.0.0-dev-435218f5c4d
1664588274,3.0.0-dev-952030cfa6f
1667266555,3.0.0-dev-0d64ba42681
1669858504,3.0.0-dev-982f5998c59
1672536918,3.0.0-dev-55c64bcc2af
1677634580,3.0.0-dev-ad5399644ae
1682904858,3.0.0-dev-bc8f2db2cca
1685583539,3.0.0-dev-6ef184e33f6
1688175401,3.0.0-dev-37e14070acb
1690853733,3.0.0-dev-22f0669efc4
