commit_hash,timestamp,node_version,node_version_source,pm_version,pm_version_source,coverage_tools,repo_root
8074756dc2682c77f939b7c4c128884612d1b3bf,1578012535,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
53555c0133fdb7ecdb1e3a101361800fdf334caa,1578030867,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
ea0ab2c7ccac1cea3a64b13b130754d91ac20f0a,1578031270,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
225f002648ec64171089ce9951adf2c2c5295553,1578031382,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
3893a26251930b61ab92f9014106e3474de10256,1578031382,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
b09ca5c7511ebc51b74ea3eeded2be26ac7c71cf,1578031382,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
c883d20bd7e1eeff314c4e2f19a7826047b1386a,1578031382,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
8d6ae29d871eca0c76caa00aaf34f2172ed16930,1578031382,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
9aa45379a99fb3c39e15fb7e60794feaa1d539c3,1578031493,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
d9c4e932e9bf80c9c8b4018d5d3a335cf35eb49a,1578031493,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
bd3a4c5b191c8ebd89949d9a5f6be24414a5586c,1578031493,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
3014b7ccbad9d14cfcd747b4ec88e7bcc979ab37,1578031493,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
7c726c8f47a31076a7fd7051182170677162c21c,1578031618,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
7ba85921b1a2116eace108734bcfea7ebe30d215,1578031618,10.13.0,.nvmrc,yarn,yarn.lock,[],projects/session-desktop/repo
