project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
flowfuse,1634560355_74138f82307565f06c9455ed039d8a1496a9a1fe,unit,1,1,404,     AssertionError: expected undefined to exist,acceptable,2026-09-23T14:05:31.558039+00:00,99f3b9bea80862f2,1,0b2b827ecf34
flowfuse,1636661840_3b27a1b63878a3abaed1cbd0058225b1490a043a,unit,4,2,416,     TypeError: Cannot read property 'role' of null,acceptable,2026-09-23T14:05:31.558758+00:00,983d8f1ca0743d9a,1,7d497e83efe1
flowfuse,1636661840_3b27a1b63878a3abaed1cbd0058225b1490a043a,unit,4,3,422,     TypeError: Cannot read property 'role' of null,acceptable,2026-09-23T14:05:31.559548+00:00,0d8eba33984ebe46,1,7d497e83efe1
flowfuse,1636661840_3b27a1b63878a3abaed1cbd0058225b1490a043a,unit,4,4,428,     TypeError: Cannot read property 'role' of null,acceptable,2026-09-23T14:05:31.560028+00:00,a56c4ca887b80ac6,1,7d497e83efe1
flowfuse,1642437418_2342b52cdcc40111d469f6cf2edf63529dc5667c,unit,4,5,420,     TypeError: Cannot read property 'db' of undefined,acceptable,2026-09-23T14:05:31.560484+00:00,55fc94acb4d12b1e,2,7d497e83efe1
flowfuse,1644336583_0651f93c5eca96f913f952f9b2de845382fa6f50,unit,2,6,388,"     Error: Timeout of 2000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/test/unit/forge/db/controllers/Invitation_spec.js)",acceptable,2026-09-23T14:05:31.560902+00:00,aff66e04a5417f9d,1,ef08aa509c80
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,system,2,7,576,[2026-09-21T06:11:30.055Z] ERROR: Failed to start: Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,01dedb84645b12e7,1,
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,system,2,8,592,     Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,93b396aa3e7092ca,1,5720f4159b04
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,system,2,9,617,     TypeError: Cannot read properties of undefined (reading 'close'),acceptable,2026-09-23T14:06:47.830647+00:00,22bec532a4b59e67,1,7d497e83efe1
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,10,342,[2026-09-21T06:11:26.311Z] ERROR: Failed to start: Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,278f63efb7df9341,1,5720f4159b04
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,11,355,[2026-09-21T06:11:26.369Z] ERROR: Failed to start: Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,518c954122c34457,1,5720f4159b04
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,12,368,[2026-09-21T06:11:26.410Z] ERROR: Failed to start: Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,fbdb5b7b66af3060,1,5720f4159b04
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,13,380,[2026-09-21T06:11:26.454Z] ERROR: Failed to start: Error: Cannot find module './stack.js',reevaluated_acceptable,2026-09-24T10:36:16.958628+00:00,bcf0e97ac6f13049,1,5720f4159b04
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,14,431,     TypeError: Cannot read properties of undefined (reading 'close'),acceptable,2026-09-23T14:06:47.848110+00:00,34c2e52bbdfa8322,1,7d497e83efe1
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,15,463,     TypeError: Cannot read properties of undefined (reading 'close'),acceptable,2026-09-23T14:06:47.849144+00:00,2088eb33328a0afb,1,7d497e83efe1
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,16,495,     TypeError: Cannot read properties of undefined (reading 'close'),acceptable,2026-09-23T14:06:47.850385+00:00,3c2a20a188f92ef0,1,7d497e83efe1
flowfuse,1645198139_90460285ff3ca2c45db7e6b361523b18a73a3aa4,unit,8,17,527,     TypeError: Cannot read properties of undefined (reading 'close'),acceptable,2026-09-23T14:06:47.851441+00:00,34c4bb3a56b70b44,1,7d497e83efe1
flowfuse,1646414425_4016d724961490691a90c7bb66037e1216fbb5f2,system,1,18,500,"     Error: Timeout of 2000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/test/system/001-setup_spec.js)",acceptable,2026-09-23T14:06:47.852480+00:00,35ad81fa0eb5f364,1,ef08aa509c80
