project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
gatsby,1611103294_23a47f8af43485b6757af52523a34b30402351d2,unit,1,1,1889,"  ● npm package resource › installs 2 resources, one prod & one dev",reevaluated_acceptable,2026-09-24T15:39:37.197142+00:00,20137cfaf90be7e3,20,8ddea9c13fe7
gatsby,1612525660_ed096c402d7364415f346e4fb10d46d42d603a14,unit,1,2,1924,  ● Load plugins › plugin options validation › allows unknown options,acceptable,2026-09-24T15:39:37.197979+00:00,d9f290bdf785c89e,1,bce511ca5b69
gatsby,1612812477_d86aadd692831c5ca28889eff59740c1fc3ab141,unit,1,3,1892,  ● npm package resource › e2e npm package resource test,reevaluated_acceptable,2026-09-24T15:39:37.198538+00:00,6259b9f3f5e47fc3,2,77cd2138f2c1
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,4,1621,  ● actual compiling › advices on similarly named fragment,acceptable,2026-09-24T15:39:37.199025+00:00,219d4a6cf3cf2a56,6,d95060b4f8ae
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,5,1654,  ● actual compiling › errors on duplicate fragment names,acceptable,2026-09-24T15:39:37.199458+00:00,28ab522adefb1376,6,d95060b4f8ae
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,6,1700,  ● actual compiling › errors on double root,acceptable,2026-09-24T15:39:37.199963+00:00,510037c118bc3077,6,450dc6c728bc
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,7,1993,  ● transformer-react-doc-gen: onCreateNode › should extract all components in a file,acceptable,2026-09-24T15:39:37.200491+00:00,676dd60910e7d073,6,bed9c4f7b511
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,8,2011,  ● transformer-react-doc-gen: onCreateNode › should give all components a name,acceptable,2026-09-24T15:39:37.201242+00:00,82d4550769736c2a,6,f0fa718f81ec
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,9,2025,  ● transformer-react-doc-gen: onCreateNode › should handle duplicate doclet values,acceptable,2026-09-24T15:39:37.201813+00:00,72da6a39f16c38e1,6,39057569b6f3
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,10,2039,  ● transformer-react-doc-gen: onCreateNode › should extract all propTypes,acceptable,2026-09-24T15:39:37.202466+00:00,1c5c7c3b5410813e,6,bed9c4f7b511
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,11,2057,  ● transformer-react-doc-gen: onCreateNode › should delicately remove doclets,acceptable,2026-09-24T15:39:37.203055+00:00,50f3ac7efedc97a1,6,a4082bc3f4ba
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,12,2071,  ● transformer-react-doc-gen: onCreateNode › should extract create description nodes with markdown types,acceptable,2026-09-24T15:39:37.203658+00:00,7000b6c2115524ab,6,6050bdba7fc8
gatsby,1614837777_81457357853e79dd884ced565feef47dc46fc335,unit,1,13,2085,  ● transformer-react-doc-gen: onCreateNode › should allow specifying handlers,acceptable,2026-09-24T15:39:37.204277+00:00,5f3610bdcbfbb24e,6,4c8a78c49122
gatsby,1620317512_2291fbd962e9813bf1b83851738b438f8d83040b,unit,1,14,1625,  ● it transforms HTML img tags,acceptable,2026-09-24T15:39:37.204753+00:00,78eb8390bb06f825,8,450dc6c728bc
gatsby,1620317512_2291fbd962e9813bf1b83851738b438f8d83040b,unit,1,15,1652,  ● it leaves linked HTML img tags alone,acceptable,2026-09-24T15:39:37.205259+00:00,9ca6563c39f211f5,8,450dc6c728bc
gatsby,1620317512_2291fbd962e9813bf1b83851738b438f8d83040b,unit,1,16,1679,  ● it leaves single-line linked HTML img tags alone,acceptable,2026-09-24T15:39:37.205734+00:00,f2c708239795d7eb,8,450dc6c728bc
gatsby,1620317512_2291fbd962e9813bf1b83851738b438f8d83040b,unit,1,17,1704,  ● it transforms HTML img tags with query strings,acceptable,2026-09-24T15:39:37.206240+00:00,0ca1d1b5886f82ea,8,450dc6c728bc
gatsby,1620317512_2291fbd962e9813bf1b83851738b438f8d83040b,unit,1,18,1992,  ● babel-plugin-remove-graphql-queries › Transforms queries in useStaticQuery,acceptable,2026-09-24T15:39:37.206722+00:00,07b5ed518949a7ef,8,450dc6c728bc
