commit_hash,timestamp,test,test:dependencies,test:build:package,test:build:dist,package-lock.json,pretest,test:build:assets,test:screenshots
a91f825668d54dd634ac567389f123e53ec40882,1578492920,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
66299e016cbc2ab94af25db086180b388ce51cb1,1578502648,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
7c26db1a06ad320d62aa5bfa06c08c4e42e113f6,1578564775,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
898f3685402f777e17347d5a5fa462f3eb17851a,1578565244,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
2112fa6a4635ac7132aa3274b47fe698ee916985,1578566181,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
43302648742995db9979c6bba8977b91a26978d0,1579182520,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
5a3e7719d7b44505c9a8389e20948a33ac32d0ee,1579524402,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
fa3d51b2c0fdc1c75b90156334d9792e41c32554,1579530127,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
cfabd7dcbe883e8a0950d5434c4dd45795433e37,1579535490,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
bdf68ca766165a2281f08c10e56c643408f02c6f,1579535490,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
c4897c47db6d230cd593c6c5776ac63f3abb23ee,1579535520,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
39a35f03afe9ff778b14c8c08ab66e76d6940289,1579536526,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
30d6ca7e3fec22f547fc76126b91391a8483082d,1579599308,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
0f70e909d75be3f4633651a5e885b970ffffc69c,1579599524,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
26857180647548981f139fdd0ebe9031af8b85aa,1579600750,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
534b3527234ed93a6d0f92d215cf8869a417614c,1579602224,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
1db8c3db37463569dc539991d660c38707cfedb9,1579603335,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
1d2fcb655361b52efcd851b7b9da3b0e77f05c83,1579613612,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
c1db8352d70ea96d27e8b0d8acbe4de71a1ae0dc,1579872354,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
7278efe3d085fab1b637c509cf9262e4d51a4b5d,1580915873,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
f64102c8983e51e6715e6c84142fb4f93722ad12,1580916140,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
8947fe150ec251fb905e6e5f5ff61b9e79c64371,1581332209,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
c03b70e78f1ac1381420269bc161e07088bb8baf,1581337373,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
0af4741ba1bec5c302228236b9097542f6cdf878,1581339679,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
2787ca080cfe1e412106684c369ed268e82ef901,1581339782,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
f843493b47c318e2cd8843fa9e2518b6e0c35b7c,1581340475,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
fd8d093b4475917edeb4d4378853cb6aec09bd39,1581341852,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
89e2f110884fc37f5e8357f1a01be90e7eecd64a,1581341913,npm run test:dependencies && standard && gulp test && gulp copy-assets && jest --testPathIgnorePatterns='after-*',npm ls --depth=0,jest tasks/gulp/__tests__/after-build-package.test.js,jest tasks/gulp/__tests__/after-build-dist.test.js,True,,,
