project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
material-ui,1609497448_f736ebe441d73c823919887ac0f8d5fa983ef0e0,test_coverage,1,1,325,"     Error: Timeout of 10000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/packages/material-ui-envinfo/envinfo.test.js)",unclear,2026-09-20T09:30:55.828294+00:00,a6f3d1dce5b136f6,66,
material-ui,1611148141_1b9eed20bb21af82eaf56562ea60aab39063b311,test_coverage,1,2,330,      AssertionError: expected false to equal true,acceptable,2026-09-20T09:31:09.004529+00:00,afda8f2c818189a2,1,
material-ui,1611567363_3e048a594fc7ce4f3df3f350d4153d75b1ca841d,test_coverage,1,3,253,TypeError: Cannot redefine property: cardClasses,acceptable,2026-09-20T09:31:09.006595+00:00,cc7de3d3cc375a80,2,6b2f0d1d6d14
material-ui,1615656023_ae029a46298714ff499adee1f20e930834fe2e86,test_coverage,1,4,312,"     Error: Timeout of 10000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/packages/material-ui-envinfo/envinfo.test.js)",unclear,2026-09-20T09:31:09.007676+00:00,4fb07bb3c08ab329,121,9ee5b194879f
material-ui,1631010629_1052f1500eaae66eec2533add12d6f642e8e153f,test_coverage,1,5,344,"     Error: Timeout of 10000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/packages/mui-envinfo/envinfo.test.js)",acceptable,2026-09-20T09:31:09.008267+00:00,ca6dce6380c97b38,47,f26937fc120d
material-ui,1646389341_298627c7339d1a5809518b0dbc212fe95c40a4e9,test_coverage,4,6,373,"     TestingLibraryElementError: Unable to find an accessible element with the role ""textbox""",acceptable,2026-09-20T09:31:09.008802+00:00,b6098ccf29c50c51,1,96a4cf13a4d5
material-ui,1658298299_c384078b102a6e039cd9f02138ff16f78c90c3d5,test_coverage,1,7,395,"      AssertionError: expected { display: 'flex', …(5) } to deeply equal { …(5) }",acceptable,2026-09-20T09:31:09.009448+00:00,5997fc775fd9c521,1,c02c76e7c36d
material-ui,1658826039_e6c8f6b71ca0e19f1fa24902b76415fcc8e61456,test_coverage,1,8,394,"     Error: Timeout of 10000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/packages/mui-envinfo/envinfo.test.js)",acceptable,2026-09-20T09:31:09.010014+00:00,236ae51daa0f9b78,34,f26937fc120d
material-ui,1668103601_269c1d0c7572fcb6ae3b270a2622d16c7e40c848,test_coverage,1,9,384,     Expected test not to call console.error() but instead received 2 calls.,acceptable,2026-09-20T09:31:09.010668+00:00,d70355773cbae700,2,421cbab5f601
material-ui,1688131426_a45d46c7421ad656f64b5448cb85e3bdd98a672e,test_coverage,1,10,390,"     Error: Timeout of 10000ms exceeded. For async tests and hooks, ensure ""done()"" is called; if returning a Promise, ensure it resolves. (/coverage_reloaded/repo/packages/mui-envinfo/envinfo.test.js)",acceptable,2026-09-20T09:31:09.011540+00:00,dbfac7b29e1fe08d,9,f26937fc120d
