project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
matrix-js-sdk,1609773369_5b73bf3e5d358505176ad7d33c4b8cda92504c38,unit,1,1,807,  ● Crypto › Key requests › uses a new txnid for re-requesting keys,acceptable,2026-09-24T09:03:07.330825+00:00,6b27cc451fceb131,38,
matrix-js-sdk,1609773781_e25ae546fce9a92f4b4419d0b1977c51f80d5597,unit,1,2,804,  ● SAS verification › verification in DM › should verify a key,reevaluated_acceptable,2026-09-24T09:49:56,0254e72b5d12b8be,534,
matrix-js-sdk,1611590979_39a9c54589a74a26ace5dfc8eb70a03520f707b1,unit,1,3,1045,  ● Call › should ignore candidate events from non-matching party ID,acceptable,2026-09-24T09:03:20.212773+00:00,6f0502b9c81428da,102,
matrix-js-sdk,1615229365_59c93b59bf866eeac0dcc0163dd0d197d461aef1,unit,1,4,1037,  ● Call › should add candidates received before answer if party ID is correct,acceptable,2026-09-24T09:03:58.310658+00:00,574330047ff9a1f7,98,
matrix-js-sdk,1615423882_ceb162eb012032e872f0009eb955e3a1b318428f,unit,1,5,372,  ● MegolmDecryption › receives some keys: › re-uses sessions for sequential messages,acceptable,2026-09-24T09:04:06.680457+00:00,80ff0b42042c9194,8,
matrix-js-sdk,1617037087_4e5947af51c25ccf453675ae9272088b020f8d21,unit,1,6,296,  ● Cross Signing › should get cross-signing keys from sync,acceptable,2026-09-24T09:04:10.700376+00:00,6f4174cf1e66f808,40,
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,7,237,  ● Room › addPendingEvent › should add pending events to the pendingEventList if pendingEventOrdering == 'detached',reevaluated_acceptable,2026-09-24T09:49:56,9e687ee6e2fea319,12,
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,8,252,  ● Room › updatePendingEvent › should remove cancelled events from the pending list,reevaluated_acceptable,2026-09-24T09:49:56,244618aa8823982b,12,7ffd30d6c138
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,9,387,  ● MatrixClient event timelines › event timeline for sent events › should work when /send returns before /sync,reevaluated_acceptable,2026-09-24T09:54:53,0394175d1845c140,25,f5c9d06918d4
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,10,421,  ● MatrixClient event timelines › event timeline for sent events › should work when /send returns after /sync,acceptable,2026-09-24T09:04:34.299263+00:00,f75ce851743e72bf,24,
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,11,759,  ● MatrixClient room timelines › local echo events › should be updated correctly when the send request finishes BEFORE the event comes down the event stream,reevaluated_acceptable,2026-09-24T09:54:53,af0a47ae783b45d3,26,f5c9d06918d4
matrix-js-sdk,1617271156_cecbcd941e33a21fd80461100b3bd9875833c628,unit,1,12,793,  ● MatrixClient room timelines › local echo events › should be updated correctly when the send request finishes AFTER the event comes down the event stream,acceptable,2026-09-24T09:04:38.302620+00:00,d58686e1518f77e0,24,
matrix-js-sdk,1618226787_2f05be599c73ae523d46362e4dde6aed786e6041,unit,1,13,1188,  ● MatrixClient retrying › should mark events as EventStatus.CANCELLED when cancelled,acceptable,2026-09-24T09:04:45.431066+00:00,13bae3835748b749,14,
matrix-js-sdk,1618228407_64aaed833b622caf61d2d4dab14e9434a6f0efc9,unit,1,14,237,  ● Room › updatePendingEvent › should remove cancelled events from the timeline,acceptable,2026-09-24T09:04:45.432876+00:00,1aa5587dbd5b9e4b,5,6ace515b081e
