project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,1,275,  ● LeftSidebar.vue › search results › not found caption › displays all types in caption when nothing was found,acceptable,2026-09-21T18:04:00.568219+00:00,98f0d350e234c4bb,25,
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,2,293,  ● LeftSidebar.vue › search results › not found caption › displays all types minus circles when nothing was found but circles is disabled,acceptable,2026-09-21T18:04:00.569376+00:00,26cbf216835ce90f,25,d893c99aab9e
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,3,311,  ● LeftSidebar.vue › search results › not found caption › displays caption for users and groups not found,acceptable,2026-09-21T18:04:00.569578+00:00,1df771c37d256105,25,d893c99aab9e
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,4,329,  ● LeftSidebar.vue › search results › not found caption › displays caption for users not found,acceptable,2026-09-21T18:04:00.569767+00:00,b99b25ae2f3f5051,25,d893c99aab9e
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,5,347,  ● LeftSidebar.vue › search results › not found caption › displays caption for groups not found,acceptable,2026-09-21T18:04:00.569992+00:00,b9f8cf2eaed73b9f,25,d893c99aab9e
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,6,365,  ● LeftSidebar.vue › search results › not found caption › displays caption for groups and circles not found,acceptable,2026-09-21T18:04:00.570182+00:00,5a40c6dafdba7034,25,d893c99aab9e
spreed,1614787935_d575013901ec8e83adc4d190597526ba92ac9338,vue_cli_service,1,7,383,  ● LeftSidebar.vue › search results › not found caption › displays caption for users and circles not found,acceptable,2026-09-21T18:04:00.570376+00:00,af2f700ae24904e5,25,d893c99aab9e
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,8,303,  ● Conversation.vue › renders conversation entry,acceptable,2026-09-21T18:04:00.570568+00:00,59f8c8506df625ab,14,d893c99aab9e
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,9,320,  ● Conversation.vue › displayed subtitle › display joining conversation message when not joined yet,acceptable,2026-09-21T18:04:07.875657+00:00,430f5c2554241022,2,
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,10,335,  ● Conversation.vue › displayed subtitle › displays nothing when there is no last chat message,acceptable,2026-09-21T18:04:07.877316+00:00,b4801d191972bb69,2,9cfaf5f0e1fa
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,11,350,  ● Conversation.vue › displayed subtitle › author name › displays last chat message with shortened author name,acceptable,2026-09-21T18:04:07.877898+00:00,9b61280d558b8188,4,9cfaf5f0e1fa
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,12,365,  ● Conversation.vue › displayed subtitle › author name › displays last chat message with author name if no space in name,acceptable,2026-09-21T18:04:07.878431+00:00,e630928105718085,4,9cfaf5f0e1fa
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,13,380,"  ● Conversation.vue › displayed subtitle › author name › displays own last chat message with ""You"" as author",acceptable,2026-09-21T18:04:07.878975+00:00,00ef2ab82a39fad8,4,9cfaf5f0e1fa
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,14,395,  ● Conversation.vue › displayed subtitle › author name › displays last system message without author,acceptable,2026-09-21T18:04:07.879704+00:00,4ce3b9318cc51e08,4,9cfaf5f0e1fa
spreed,1617179771_a2385777571dac714ac65a603aabc1533d0d1db4,vue_cli_service,1,15,410,  ● Conversation.vue › displayed subtitle › author name › displays last message without author in one to one conversations,acceptable,2026-09-21T18:04:07.880300+00:00,979e2d24959300bf,4,9cfaf5f0e1fa
