project,run_id,suite,exit_code,failure_index,line_number,keyword,label,labeled_at,fingerprint,occurrences,auto_rule_id
wowanalyzer,1609619243_37ef77a5faecbc6e0ccbbbac707c08126fc50259,react_app_rewired,1,1,272,  ● Unholy Death Knight integration test: example log › CastEfficiency › matches the statistic snapshot,reevaluated_acceptable,2026-09-19T13:48:37.646597+00:00,bee54b3af636bbf8,190,a5fec9db195e
wowanalyzer,1609639104_f9e26db6749c921b388ae7578d77109da01cb98e,react_app_rewired,1,2,263,  ● Affliction Warlock integration test: example log › matches the checklist snapshot,reevaluated_acceptable,2026-09-19T13:48:37.647164+00:00,51c2c5df11815731,256,a5fec9db195e
wowanalyzer,1609639104_f9e26db6749c921b388ae7578d77109da01cb98e,react_app_rewired,1,3,4100,  ● Unholy Death Knight integration test: example log › CastEfficiency › matches the suggestions snapshot,reevaluated_acceptable,2026-09-19T13:48:37.647535+00:00,1812d58a766f6ba0,117,da465717f9d1
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,4,242,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.647794+00:00,8c12dca316e1656a,73,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,5,261,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.648065+00:00,9ec3fa78a1afd6c3,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,6,282,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.648313+00:00,4da5ae72ba16740b,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,7,304,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.648561+00:00,06467314cc330bdb,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,8,326,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.648812+00:00,d56045fc24dbfb88,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,9,348,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.649103+00:00,0c0206622df83f24,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,10,370,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.649361+00:00,32896c52a17bb034,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,11,392,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.649617+00:00,91f849c4958cf509,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,12,414,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.649885+00:00,b3a2196740f86c3b,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,13,436,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.650155+00:00,52e417817a510c20,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,14,458,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.650418+00:00,543099c8312f26da,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,15,480,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.650682+00:00,866b6dfd4d428add,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,16,502,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.650961+00:00,70090fc8bb6ba1b6,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,17,524,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.651244+00:00,f7f0ce44967fdef5,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,18,546,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.651517+00:00,d9f4bc6b22014212,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,19,568,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.651793+00:00,f90d737e1b38b5b7,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,20,590,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.652106+00:00,054fa91f137a790b,6,08be50fb9692
wowanalyzer,1610192491_854b1367fdf31d7e9c930e775c9dca32b66a4657,react_app_rewired,1,21,612,  ● Test suite failed to run,acceptable,2026-09-19T13:48:37.652401+00:00,b90ccc486d049b3f,6,08be50fb9692
