Version,Status,First official release
21.0,Supported,11/19/25
20.0,LTS Supported,05/28/25
19.0,LTS Supported,11/19/24
18.0,LTS End of life,05/22/24
17.0,LTS End of life,11/08/23
16.0,LTS End of life,05/03/23
15.0,LTS End of life,11/16/22
14.0,LTS End of life,06/02/22
13.0,LTS End of life,11/03/21
12.0,LTS End of life,05/12/21
11.0,LTS End of life,11/11/20
10.0,LTS End of life,06/24/20
9.0,LTS End of life,02/06/20
8.0,LTS End of life,05/28/19
7.0,LTS End of life,10/18/18
6.0,LTS End of life,05/03/18
5.0,LTS End of life,11/01/17
4.0,LTS End of life,03/23/17
2.0,LTS End of life,09/15/16
